PRIMARY_KEY,REP_DATE,REP_TIME,LOCATION,X_COORDINATE,Y_COORDINATE,APD_sector,CouncilDistrict,county_description,ZIP,CENSUS_TRACT,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Based On,Search Found
20181591465,06/08/2018,2016,4600 LEDESMA RD,3130958,10073332,CH,Council District 1,TRAVIS COUNTY,78721,21.1,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181441613,05/24/2018,2239,MANOR RD / AIRPORT BLVD,3125657,10077650,BA,Council District 1,TRAVIS COUNTY,78723,3.06,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181441833,05/24/2018,2331,7300 N IH 35 SVRD SB,3126126,10095246,ID,Council District 4,TRAVIS COUNTY,78752,18.04,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
20181371570,05/17/2018,1953,7806 N CAPITAL OF TEXAS HWY SB,3102052,10110376,AD,Council District 10,TRAVIS COUNTY,78750,17.16,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
20181450024,05/25/2018,20,7114 N IH 35 SVRD SB,3125687,10094562,ID,Council District 4,TRAVIS COUNTY,78752,15.03,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Pre-existing knowledge (i.e. warrant),M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
20181660119,06/15/2018,127,7200 E US 290 HWY SVRD EB,3133046,10090949,ID,Council District 1,TRAVIS COUNTY,78723,21.12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,PROBABLE CAUSE,OTHER
20181570147,06/06/2018,359,S 1ST ST / W GIBSON ST,3110829,10064647,DA,Council District 9,TRAVIS COUNTY,78704,13.05,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181261393,05/06/2018,1841,OAK SPRINGS DR / AIRPORT BLVD,3128434,10073082,CH,Council District 3,TRAVIS COUNTY,78721,21.11,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
20181300168,05/10/2018,236,S 1ST ST / W STASSNEY LN,3102589,10048802,FR,Council District 2,TRAVIS COUNTY,78745,24.1,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,NOTHING
2018500611,02/19/2018,1203,N IH 35 SVRD SB / E 53RD HALF ST,3124567,10087116,ID,Council District 4,TRAVIS COUNTY,78751,21.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,BLACK,NO,,
20181540210,06/03/2018,209,2100 BLOCK S 5TH ST,3107939,10062649,DA,Council District 9,TRAVIS COUNTY,78704,13.05,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES,INCIDENTAL TO ARREST,CASH
20181270537,05/07/2018,1016,900 W CESAR CHAVEZ ST,3110660,10070115,GE,Council District 9,TRAVIS COUNTY,78703,12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES,INCIDENTAL TO ARREST,NOTHING
20181280085,05/08/2018,50,WILKE DR / ARTHUR LN,3103011,10065058,DA,Council District 5,TRAVIS COUNTY,78704,19.01,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES,FRISK FOR SAFETY,NOTHING
20181380152,05/18/2018,338,W 6TH ST / HIGHLAND AVE,3108359,10072913,BA,Council District 9,TRAVIS COUNTY,78703,12,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES,INCIDENTAL TO ARREST,NOTHING
